image,output,flag,username,timestamp
/Users/salmannaqvi/DataspellProjects/FloodDetector/flagged/image/tmpvd6_25r3.jpg,/Users/salmannaqvi/DataspellProjects/FloodDetector/flagged/output/tmp12mf7l3w.json,,,2022-09-17 19:10:43.606594
,,,,2022-09-17 19:19:07.108909
/Users/salmannaqvi/DataspellProjects/FloodDetector/flagged/image/tmp6dcva8py.jpg,,,,2022-09-17 19:19:09.166293
